_id,distance,pace.hours,pace.minutes,pace.seconds,points,time.hours,time.minutes,time.seconds,user_id,createdAt,type
629f7a21f520a5786df73c53,1.26,0,21,14,252,0,26,47,629f5bd2f520a5786df72d4d,2022-06-07T16:17:37.813Z,walk-run
629f7a27f520a5786df73c64,1.26,0,21,14,252,0,26,47,629f5bd2f520a5786df72d4d,2022-06-07T16:17:43.918Z,walk-run
629f7a35f520a5786df73c7e,0.51,0,37,22,102,2,20,25,629d13e97316fa52d753d49e,2022-06-07T16:17:57.532Z,walk-run
629f7a3bf520a5786df73c8c,0,0,0,0,0,0,0,5,6255cbc15d743db5da53c293,2022-06-07T16:18:03.585Z,walk-run
629f7a53f520a5786df73caa,0,0,0,0,0,0,0,5,61a73fea861f3e09af5c8d44,2022-06-07T16:18:27.262Z,walk-run
629f7a94f520a5786df73cf6,0,0,0,0,0,0,0,3,61a73fea861f3e09af5c8d44,2022-06-07T16:19:32.591Z,walk-run
629f7ad3f520a5786df73d21,0,0,0,0,0,0,0,3,61a73fea861f3e09af5c8d44,2022-06-07T16:20:35.076Z,walk-run
629f7b0bf520a5786df73d46,1.1,0,14,17,220,0,15,44,629d0f677316fa52d753d232,2022-06-07T16:21:31.689Z,walk-run
629f7b3bf520a5786df73d70,1.07,0,45,47,214,0,47,46,621fdf3c7fd625b6e1a00282,2022-06-07T16:22:19.334Z,walk-run
629f7b43f520a5786df73d80,0.01,0,49,1,2,0,3,2,629d13e97316fa52d753d49e,2022-06-07T16:22:27.998Z,walk-run
629f7b49f520a5786df73d94,0,0,0,0,0,0,0,4,61a73fea861f3e09af5c8d44,2022-06-07T16:22:33.436Z,walk-run
629f7c4ff520a5786df73de0,0.43,0,34,54,86,0,20,40,6293100f7316fa52d752d77e,2022-06-07T16:26:55.879Z,walk-run
629f7c96f520a5786df73e0d,0.34,0,40,53,68,0,13,45,629e3b197316fa52d7541423,2022-06-07T16:28:06.214Z,walk-run
629f7cc5f520a5786df73e34,0,0,0,0,0,0,0,2,61a73fea861f3e09af5c8d44,2022-06-07T16:28:53.135Z,walk-run
629f7dd3f520a5786df73ea3,2.53,0,17,37,506,0,42,10,629f4238b99ec9543c40bfb8,2022-06-07T16:33:23.416Z,walk-run
629f7e1af520a5786df73ec1,4.22,0,7,22,844,0,31,17,629e37bf7316fa52d754134d,2022-06-07T16:34:34.584Z,walk-run
629f7e5ef520a5786df73f06,0.47,0,13,15,94,0,6,15,629d0f677316fa52d753d232,2022-06-07T16:35:42.484Z,walk-run
629f7e6bf520a5786df73f21,0,0,0,0,0,0,10,38,629b4d0d7316fa52d7539199,2022-06-07T16:35:55.655Z,walk-run
629f7ee5f520a5786df73fa7,0,0,0,0,0,0,0,3,61a73fea861f3e09af5c8d44,2022-06-07T16:37:57.627Z,walk-run
629f7f0ef520a5786df73fe5,1.86,0,18,29,372,0,34,27,6293230c7316fa52d752d9f0,2022-06-07T16:38:38.171Z,walk-run
629f7f1af520a5786df73ff8,2.02,0,10,20,404,0,20,54,6240a3a90ec7818026800a10,2022-06-07T16:38:50.264Z,walk-run
629f7f34f520a5786df74016,1.29,0,3,3,258,0,34,11,621502480f64e8e5e4aa23aa,2022-06-07T16:39:16.501Z,walk-run
629f7f81f520a5786df7405b,5.48,0,6,46,1096,0,31,40,629c3fee7316fa52d753a609,2022-06-07T16:40:33.923Z,walk-run
629f7ffef520a5786df740a6,3.28,0,14,43,656,0,45,11,629f6d39f520a5786df73528,2022-06-07T16:42:39.008Z,walk-run
629f8016f520a5786df740c5,0.65,0,3,12,130,0,2,14,629739b37316fa52d75333df,2022-06-07T16:43:02.941Z,walk-run
629f8037f520a5786df740ea,0,0,0,0,0,0,0,3,61a73fea861f3e09af5c8d44,2022-06-07T16:43:35.476Z,walk-run
629f803ff520a5786df740ff,1.5,0,8,22,300,0,13,31,629c916d7316fa52d753b0e0,2022-06-07T16:43:43.112Z,walk-run
629f8059f520a5786df74117,4.04,0,19,57,808,1,16,41,629f07f97316fa52d7543d24,2022-06-07T16:44:09.219Z,walk-run
629f805ef520a5786df74125,0,0,0,0,0,0,0,7,629f5d1af520a5786df72da0,2022-06-07T16:44:14.087Z,walk-run
629f8068f520a5786df74136,0.41,0,14,22,82,0,5,55,629d17a07316fa52d753d6ab,2022-06-07T16:44:24.986Z,walk-run
629f80baf520a5786df74171,0,0,0,0,0,0,0,13,629c3b587316fa52d753a50c,2022-06-07T16:45:46.280Z,walk-run
629f80d0f520a5786df7418a,8.03,0,6,14,1606,0,50,6,629bc5157316fa52d753a02b,2022-06-07T16:46:08.156Z,walk-run
629f80f0f520a5786df7419c,1.66,0,14,52,332,0,23,9,628e3d1a7352b8e67bcc2f3f,2022-06-07T16:46:40.933Z,walk-run
629f81f5f520a5786df741ed,4.51,0,8,13,902,0,37,6,629779ce7316fa52d7533c12,2022-06-07T16:51:01.096Z,walk-run
629f8224f520a5786df74208,2.79,0,12,36,558,0,32,27,629ef6377316fa52d75437f4,2022-06-07T16:51:48.508Z,walk-run
629f829bf520a5786df74235,0.2,0,36,6,40,0,7,16,629b82427316fa52d75397b8,2022-06-07T16:53:47.893Z,walk-run
629f82b0f520a5786df74249,0.26,0,5,6,52,0,1,26,6290ca0a7316fa52d752a5e0,2022-06-07T16:54:08.786Z,walk-run
629f82ebf520a5786df74270,7.93,0,7,22,1586,0,58,29,629e15dc7316fa52d754090f,2022-06-07T16:55:07.930Z,walk-run
629f8335f520a5786df7429c,0,0,0,0,0,0,0,1,629b82427316fa52d75397b8,2022-06-07T16:56:21.345Z,walk-run
629f83c7f520a5786df742e0,0.18,0,24,31,36,0,4,17,6290ca0a7316fa52d752a5e0,2022-06-07T16:58:47.460Z,walk-run
629f8414f520a5786df7431c,0,0,0,0,0,0,0,5,61a73fea861f3e09af5c8d44,2022-06-07T17:00:04.834Z,walk-run
629f8553f520a5786df743a3,2.1,0,21,39,420,0,45,35,620faf730f64e8e5e4aa1830,2022-06-07T17:05:23.272Z,walk-run
629f858ef520a5786df743e2,2.13,0,8,26,426,0,18,9,6293c3d17316fa52d752ef6f,2022-06-07T17:06:22.640Z,walk-run
629f85a4f520a5786df74420,0,0,0,0,0,0,0,2,629dbc1b7316fa52d753eee3,2022-06-07T17:06:44.265Z,walk-run
629f85a4f520a5786df7442c,0,0,0,0,0,0,0,3,61a73fea861f3e09af5c8d44,2022-06-07T17:06:44.774Z,walk-run
629f85a9f520a5786df74445,9,0,6,50,1800,1,1,36,629d69f77316fa52d753df01,2022-06-07T17:06:49.588Z,walk-run
629f85d3f520a5786df74491,0,0,0,0,0,0,0,6,61a73fea861f3e09af5c8d44,2022-06-07T17:07:31.421Z,walk-run
629f85faf520a5786df744b0,0.89,0,15,49,178,0,13,15,629f7ae8f520a5786df73d35,2022-06-07T17:08:10.031Z,walk-run
629f85fbf520a5786df744ba,0.92,0,15,26,184,0,14,20,629c3b587316fa52d753a50c,2022-06-07T17:08:11.174Z,walk-run
629f8665f520a5786df7450d,0,0,0,0,0,0,1,35,629f7ae8f520a5786df73d35,2022-06-07T17:09:57.335Z,walk-run
629f8694f520a5786df7451a,0.08,0,23,34,16,0,1,59,6290a5b396567d4c7c7fffb3,2022-06-07T17:10:44.772Z,walk-run
629f86c4f520a5786df74538,0,0,0,0,0,0,0,32,6290a5b396567d4c7c7fffb3,2022-06-07T17:11:32.719Z,walk-run
629f86e3f520a5786df74558,0,0,0,0,0,0,0,5,61a73fea861f3e09af5c8d44,2022-06-07T17:12:03.394Z,walk-run
629f874af520a5786df7456e,0.67,0,13,19,134,0,8,54,629dcc307316fa52d753f2b1,2022-06-07T17:13:46.282Z,walk-run
629f877cf520a5786df74584,1.46,0,17,33,292,0,24,24,629dc4397316fa52d753f120,2022-06-07T17:14:36.311Z,walk-run
629f884bf520a5786df745c3,0.28,0,26,35,56,0,7,4,629d13ce7316fa52d753d476,2022-06-07T17:18:03.310Z,walk-run
629f8872f520a5786df745db,0,0,0,0,0,0,0,9,61a73fea861f3e09af5c8d44,2022-06-07T17:18:42.127Z,walk-run
629f88d1f520a5786df745fc,8.9,0,6,34,1780,0,59,3,629323707316fa52d752da3d,2022-06-07T17:20:17.428Z,walk-run
629f88ddf520a5786df74608,1.64,0,9,52,328,1,52,56,6292fd197316fa52d752d5e3,2022-06-07T17:20:29.519Z,walk-run
629f88e3f520a5786df7461d,0.01,0,46,5,2,0,2,16,629d13ce7316fa52d753d476,2022-06-07T17:20:35.419Z,walk-run
629f8935f520a5786df74643,0.49,0,40,48,98,0,19,46,629b23cb7316fa52d7538e83,2022-06-07T17:21:57.388Z,walk-run
629f89b2f520a5786df74671,4.01,0,16,54,802,1,3,50,629753227316fa52d7533589,2022-06-07T17:24:02.496Z,walk-run
629f89eff520a5786df7467f,1.23,0,36,7,246,0,44,28,621fe4e77fd625b6e1a00385,2022-06-07T17:25:03.785Z,walk-run
629f8a4ff520a5786df74689,0,0,0,0,0,0,0,2,629753227316fa52d7533589,2022-06-07T17:26:39.703Z,walk-run
629f8a9ff520a5786df746c8,0.8,0,0,0,160,0,11,59,629dbc1b7316fa52d753eee3,2022-06-07T17:27:59.340Z,walk-run
629f8b2af520a5786df746e1,0.1,0,0,0,20,0,1,56,620faf730f64e8e5e4aa1830,2022-06-07T17:30:18.714Z,walk-run
629f8b71f520a5786df746ed,0.2,0,0,0,40,0,2,57,629f3758b99ec9543c40bb66,2022-06-07T17:31:29.450Z,walk-run
629f8b87f520a5786df746f9,0,0,0,0,0,0,0,2,629f3758b99ec9543c40bb66,2022-06-07T17:31:51.984Z,walk-run
